Inputs,MMSE,MAE,MSE,RMSE,RSS,R2
"['BiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'Protein']",1.089831550916036,0.0414229476203521,0.0069856339444716,0.0800477427740891,0.1257414122422536,0.832610030968984
"['dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0888890027999878,0.0414612342913945,0.0059665691417952,0.0772215152780215,0.1073982467254002,0.873256266117096
"['Time', 'Age', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.092793067296346,0.0430022633324066,0.0067885359749197,0.081925518810749,0.1221936469276746,0.8590667247772217
"['Age', 'BioWeight', 'CPR', 'Induction', 'miuSimp', 'Protein']",1.095096270243327,0.0437911059707403,0.0075141134050985,0.0846140012145042,0.1352540428439776,0.8455860813458761
"['Time', 'Age', 'dBiomassEst', 'BioWeight', 'CumulativeAge', 'Protein']",1.0973016421000164,0.0446636589864889,0.0079743916479249,0.0884612301985422,0.143539048731327,0.8203443090120951
"['Age', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0993508497873945,0.0452790843943754,0.008792700090756,0.0853802921871344,0.1582686007022857,0.7375600934028625
"['Time', 'Age', 'dBiomassEst', 'Induction', 'miuSimp', 'Protein']",1.097896655400594,0.0454056772092978,0.0070852447922031,0.0837927038470904,0.1275344043970108,0.8617750008900961
"['dBiomassEst', 'CPR', 'Induction', 'CumulativeAge', 'Protein']",1.1002886692682905,0.0461186692118644,0.0080513019735614,0.0865340357025464,0.1449234361449877,0.8598567048708597
"['Time', 'Age', 'Carbon_Feed', 'CumulativeAge', 'Protein']",1.101383090019226,0.046400062739849,0.008582997135818,0.0914607594410578,0.1544939527908961,0.8118468721707662
"['Time', 'BiomassEst', 'BioWeight', 'Induction', 'miuSimp', 'Protein']",1.105677843093872,0.0479595276216665,0.009758735463644,0.0865609645843505,0.1756572363277276,0.6893771290779114
"['BiomassEst', 'dBiomassEst', 'Induction', 'miuSimp', 'Protein']",1.10420294602712,0.0479895882308483,0.0082237509389718,0.0883121142784754,0.148027516901493,0.8443806171417236
"['Age', 'BiomassEst', 'BioWeight', 'Induction', 'CumulativeAge', 'Protein']",1.1062953472137451,0.0485275437434514,0.0092402515001595,0.0923077687621116,0.1663245260715484,0.8019314905007681
"['Age', 'BiomassEst', 'Induction', 'CumulativeAge', 'Protein']",1.106292963027954,0.0490204592545827,0.0082520443635682,0.0876120676596959,0.148536796371142,0.8114043474197388
"['Age', 'dBiomassEst', 'BioWeight', 'Induction', 'CumulativeAge', 'Protein']",1.1067167123158772,0.0492694514493147,0.0081777706121404,0.0900538439551989,0.1471998666723569,0.8381127317746481
"['Time', 'Age', 'BiomassEst', 'CPR', 'Carbon_Feed', 'Protein']",1.110051512718201,0.0494792896012465,0.0110928973493476,0.0973779521882534,0.199672150115172,0.7619559168815613
"['Age', 'dBiomassEst', 'BioWeight', 'dCarbon_Feed', 'miuSimp', 'Protein']",1.110602577527364,0.0503374189138412,0.0099277713646491,0.0982806806763013,0.1786998808383941,0.792569637298584
"['CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.110193173090617,0.0505658363302548,0.0090615502558648,0.0939083347717921,0.1631079018115997,0.8296895424524943
"['Time', 'CPR', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'Protein']",1.1100757916768391,0.0507560074329376,0.0085637782079478,0.0912094811598459,0.1541480074326197,0.812833289305369
"['Time', 'BiomassEst', 'dBiomassEst', 'Protein']",1.1118816137313845,0.0509079980353514,0.0100656662446757,0.0956797177592913,0.181181992093722,0.7221089005470276
"['Time', 'Age', 'BioWeight', 'Carbon_Feed', 'dCarbon_Feed', 'Protein']",1.1132573286692302,0.0515619578460852,0.0101334128218392,0.097770278652509,0.1824014335870742,0.7911038796106974
"['Time', 'dBiomassEst', 'CPR', 'dCarbon_Feed', 'Protein']",1.1131206353505452,0.0518609484036763,0.0093986665209134,0.093334591637055,0.1691759961346785,0.814890444278717
"['Time', 'BiomassEst', 'dBiomassEst', 'BioWeight', 'Induction', 'Protein']",1.1141620477040608,0.0519608817994594,0.0102402266735831,0.0969716012477874,0.1843240857124328,0.7771910727024078
"['Time', 'BiomassEst', 'Carbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.1134945154190063,0.052146952599287,0.0092005583768089,0.0945429255565007,0.1656100501616796,0.8179475665092468
"['BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'miuSimp', 'Protein']",1.1161258618036909,0.0529210232198238,0.0102838519960641,0.100515991449356,0.185109332203865,0.8013614813486735
"['Age', 'dBiomassEst', 'BioWeight', 'Carbon_Feed', 'Induction', 'Protein']",1.115702509880066,0.053113949795564,0.0094745910416046,0.0963926290472348,0.1705426375071207,0.8199711839358012
"['Age', 'dBiomassEst', 'BioWeight', 'CPR', 'Carbon_Feed', 'Protein']",1.1181395451227825,0.05315679560105,0.0118260009524722,0.0961712561547756,0.212868017454942,0.7416008710861206
"['Time', 'dCarbon_Feed', 'CumulativeAge', 'Protein']",1.1168913046518962,0.0534506390492121,0.0099900146014988,0.0975770950317382,0.1798202618956565,0.8144973913828532
"['Age', 'dBiomassEst', 'Carbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.1175720691680908,0.0537125617265701,0.0101469204140206,0.0985665072997411,0.1826445683836937,0.7585700750350952
"['Age', 'dBiomassEst', 'BioWeight', 'CPR', 'Induction', 'Protein']",1.1193912823994954,0.0537158120423555,0.0119596363510936,0.1015620939433574,0.2152734609941641,0.812973697980245
"['dBiomassEst', 'CPR', 'Carbon_Feed', 'Induction', 'Protein']",1.1190805435180664,0.0544036390880743,0.0102732968516647,0.1005270307262738,0.1849193423986435,0.8293327887852987
"['Age', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.1192874511082966,0.0544202240804831,0.0104469821477929,0.0997265328963597,0.1880456780393918,0.7518517076969147
"['Age', 'dBiomassEst', 'Carbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.1189556519190471,0.0546054529647032,0.0097447905379037,0.097207357486089,0.1754062299927075,0.8046878973642985
"['BiomassEst', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Induction', 'Protein']",1.1195322275161743,0.0546480752527713,0.010236065989981,0.1000658224026362,0.1842491875092188,0.8142842451731364
