Inputs,MMSE,MAE,MSE,RMSE,RSS,R2
"['Time', 'BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'Protein']",1.0403356075286865,0.0185195334255695,0.0032965473365038,0.0552452035248279,0.100757535547018,0.7003453515470028
"['BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0402694702148438,0.0185601338744163,0.0031492369249463,0.0552904538810253,0.0948645375669002,0.6809877961874008
"['Time', 'Age', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0404887914657592,0.0186309490352869,0.0032268951879814,0.0555326275527477,0.0976321019232273,0.7572706252336502
"['Age', 'dBiomassEst', 'BioWeight', 'CPR', 'Carbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0404088020324709,0.0186540285125374,0.0031007802579551,0.0540901608765125,0.0941391617059707,0.7208412766456604
"['Time', 'dBiomassEst', 'Carbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0413365840911866,0.018778115324676,0.0037803820334374,0.0571626670658588,0.1149150568991899,0.6921402543783188
"['BiomassEst', 'dBiomassEst', 'BioWeight', 'CPR', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0407574653625489,0.0188171373680233,0.0031232075532898,0.055065344274044,0.094525671005249,0.717407900094986
"['Age', 'BiomassEst', 'Carbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0411674976348877,0.0189365051686763,0.0032945150975137,0.0553714074194431,0.0995821274816989,0.7148855328559875
"['Time', 'BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'Biomass0', 'Induction', 'miuSimp', 'Protein']",1.04133083820343,0.0189810285344719,0.0033687477349303,0.0554601080715656,0.1025367807596921,0.692420204449445
"['Time', 'BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0415922403335571,0.0191358137875795,0.0033205955987796,0.0563934125006198,0.1002520583570003,0.7345197230577469
"['Time', 'BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Biomass0', 'Induction', 'miuSimp', 'Protein']",1.0419080257415771,0.0191592851653695,0.0035894446307793,0.0578058719635009,0.1086217947304248,0.6829143613576889
"['Age', 'dBiomassEst', 'CPR', 'Carbon_Feed', 'Biomass0', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0427738428115845,0.0195941457524895,0.0035855930764228,0.0583756990730762,0.1078662447631359,0.6411160200834274
"['Time', 'dBiomassEst', 'CPR', 'Induction', 'CumulativeAge', 'Protein']",1.0424447536468506,0.0196022771298885,0.0032402040669694,0.0552924238145351,0.0979619935154914,0.6727527692914009
"['Time', 'Age', 'BiomassEst', 'dBiomassEst', 'BioWeight', 'Biomass0', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0432750225067138,0.0197145219892263,0.0038459974108263,0.0588602490723133,0.1163970082998275,0.6245694041252137
"['Time', 'Age', 'BiomassEst', 'dCarbon_Feed', 'Biomass0', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.043440580368042,0.0197508368641138,0.0039389537414535,0.0596386075019836,0.1195846997201442,0.6899822309613228
"['Age', 'dBiomassEst', 'BioWeight', 'CPR', 'Biomass0', 'Induction', 'Protein']",1.042930579185486,0.0197536494582891,0.0034232794540002,0.0570476539433002,0.1037479244172573,0.6311621367931366
