Inputs,MMSE,MAE,MSE,RMSE,RSS,R2,Model_id,Weights
"['Age', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0782830715179443,0.0366455956051747,0.004991852135087,0.0681202796598275,0.0898533388972282,0.8641509612401327,1018,
"['Time', 'BioWeight', 'CumulativeAge', 'miuSimp', 'Protein']",1.093694011370341,0.0431816677252451,0.0073307519778609,0.0835253273447354,0.131953534980615,0.8413644830385844,316,
"['Age', 'BioWeight', 'Induction', 'miuSimp', 'Protein']",1.0938282410303752,0.0433371104300022,0.0071540102362632,0.0840341076254844,0.1287721842527389,0.8509947260220846,419,
"['Time', 'Age', 'dBiomassEst', 'BioWeight', 'Carbon_Feed', 'Biomass0', 'Induction', 'CumulativeAge', 'Protein']",1.0982693433761597,0.0449817503492037,0.0083058016995588,0.0901464546720186,0.1495044330755869,0.5776982406775156,2094,
"['Time', 'dBiomassEst', 'CPR', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0991417169570925,0.04563886175553,0.0078640504119296,0.0823087605337302,0.1415529102087021,0.8016935785611471,1421,
"['Time', 'dBiomassEst', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.0991042852401731,0.0457018228868643,0.0077006625942885,0.0871420154968897,0.1386119276285171,0.8017592032750448,1890,
"['Time', 'dBiomassEst', 'CPR', 'Carbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.0991967519124348,0.0460472318033377,0.0071023480656246,0.0832193444172541,0.1278422623872757,0.8393982450167338,1410,
"['Time', 'Age', 'BiomassEst', 'BioWeight', 'Carbon_Feed', 'miuSimp', 'Protein']",1.10054878393809,0.0464397221803665,0.0076693563411633,0.0864936411380767,0.1380484128991762,0.8250732421875,1175,
"['Time', 'Age', 'dCarbon_Feed', 'CumulativeAge', 'Protein']",1.10428520043691,0.047508127366503,0.0092689202477534,0.0921529953678449,0.1668405644595623,0.7863984306653341,235,
"['BiomassEst', 'Carbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.1034622589747112,0.0475269419451554,0.0084083199035376,0.0875245568652947,0.1513497581084569,0.8299590945243835,489,
